# ----------------------------------------
# Classplay
# Caminhos de página-Formato livre 1
# 20250802-20250831
# ----------------------------------------

Título da página,Caminho da página e classe da tela,Visualizações,Usuários ativos,Tempo médio de engajamento por sessão,Contagem de eventos
Biblioteca de Agentes: Perfil pessoal: Camilla Magalhaes Silva | Classplay,/user/view.php,2,1,0,4
Biblioteca de Agentes: Perfil pessoal: Eder Antonio Milani Bernardes | Classplay,/user/view.php,2,1,1,5
Classplay: Logs da última hora | Classplay,/report/loglive/index.php,2,2,6.5,4
Classplay: teste classplay: teste classplay | Classplay,/mod/forum/post.php,2,1,20,10
Configurações de filtro em Curso: 🔒 O Mundo dos Agents | Classplay,/filter/manage.php,2,1,12,6
Configurações padrão dos cursos | Configurações padrão | Cursos | Administração | Classplay,/admin/settings.php,2,1,57,6
Contato do Templo,/turmas-templo/controle-templo/contato-do-templo,2,2,8,3
Controle,/Controle-17a5c644545480bca6f1cbd4b47816ab,2,1,94,2
Coortes | Classplay,/cohort/index.php,2,1,5,6
Cores do cartão do curso. | Aparência | Administração | Classplay,/admin/settings.php,2,1,14,5
Current release information | Classplay,/admin/index.php,2,1,6,10
Curso:  Acessar Agentes | Classplay,/course/view.php,2,1,7,4
Cursos,/conteudo/cursos,2,2,6.5,2
DANNEMANNIA .0225T1: Playlist de Estudos Módulo 1 | Classplay,/mod/resource/view.php,2,2,11,5
Demonstrações ao usuário | Aparência | Administração | Classplay,/admin/tool/usertours/configure.php,2,1,2.5,5
Documentação: Classplay - Moodle,/turmas-templo/controle-templo/wow-templo/controle/repositrio-de-contedos/documentao-classplay-moodle,2,1,13,4
EBOOKS: What Are ChatGPT and Its Friends? | Classplay,/mod/resource/view.php,2,2,6,5
Editar AI Agents: Agentes IA | AGENTESIA | Classplay,/course/modedit.php,2,2,2.5,4
Editar AI Prompts: Prompts Freemium | PROMPTSFREE | Classplay,/course/modedit.php,2,1,18,7
Editar Arquivo: Apresentação aula 1 - módulo 1 | TEMPLO.FCA | Classplay,/course/modedit.php,2,1,3,7
Editar Arquivo: Workflow - Do Tom de Voz à Postagem | MundoAgents | Classplay,/course/modedit.php,2,1,62,6
Editar Seção: Aula 2 - Criando com IA: Textos e Prompting Estratégico | FCA: Formação de Talentos | Classplay,/course/view.php,2,1,27,4
Editar Seção: Clique no botão para acessar | Modelos de IA | Classplay,/course/view.php,2,1,12,4
Editar Seção: Criando consistência de tom de voz e estilo para a sua marca com Custom Instructions | IA + Branding | Classplay,/course/view.php,2,2,1.5,3
Editar Seção: Módulo 1 - Advanced Data Analysis | Análise de Dados | Classplay,/course/view.php,2,1,25,6
Editar Seção: Módulo 1 - O que são prompts? Prompts Básicos | Engenharia de Prompts | Classplay,/course/view.php,2,1,25,5
Editar Seção: Módulo 1 | 🔒 IA + Branding | Classplay,/course/view.php,2,1,35,4
"Editar Seção: Módulo 2 - Meta Prompts e Prompts Recursivos (COT, TOT) | Engenharia de Prompts | Classplay",/course/view.php,2,1,152,6
Editar Seção: Seção 3 | Modelos de IA | Classplay,/course/view.php,2,1,27,5
Editar curso: BRASAS | Classplay,/course/view.php,2,1,40,4
Editar curso: BRASASJOR.0925T1 | Classplay,/course/view.php,2,1,27,4
Editar curso: Onboarding de Professores | Classplay,/course/view.php,2,2,20,5
Editar curso: 🔒 IA Generativa no Marketing Digital | Classplay,/course/view.php,2,1,23,5
Editar opções da categoria | Classplay,/course/editcategory.php,2,2,6.5,7
Editar seção: . | LLMS | Classplay,/course/editsection.php,2,1,5,7
Editar seção: Aula 2 - Criando com IA: Textos e Prompting Estratégico | TEMPLO.FCA | Classplay,/course/editsection.php,2,1,2,9
Editar seção: Brainstorm de Marketing com ChatGPT | OPMKT-FREE | Classplay,/course/editsection.php,2,1,0.5,9
Editar seção: Clique no botão para acessar o Claude! | LLMS | Classplay,/course/editsection.php,2,1,6,8
Editar seção: Criando consistência de tom de voz e estilo para a sua marca com Custom Instructions | MINI.BRANDING-FREE | Classplay,/course/editsection.php,2,1,29,8
"Editar seção: Crie tom de voz, estilo, personas e muito mais com ferramentas de IA. | MINI.BRANDING-FREE | Classplay",/course/editsection.php,2,1,1.5,8
Editar seção: Módulo 1 - Advanced Data Analysis | MINI-DADOS | Classplay,/course/editsection.php,2,1,0,8
Editar seção: Módulo 1 - O que são prompts? Prompts Básicos | MINI-PROMPTS | Classplay,/course/editsection.php,2,1,0,8
Editar seção: Módulo 1 | IntroIAG | Classplay,/course/editsection.php,2,1,1,5
"Editar seção: Módulo 2 - Meta Prompts e Prompts Recursivos (COT, TOT) | MINI-PROMPTS | Classplay",/course/editsection.php,2,1,0,8
Editar seção: Módulo 2 | IntroIAG | Classplay,/course/editsection.php,2,1,1,5
Editar seção: Seção 3 | LLMS | Classplay,/course/editsection.php,2,1,11,8
Editar Área de texto e mídia: Aplicando Framework de Agentes | MundoAgents | Classplay,/course/modedit.php,2,1,4.5,8
Editar Área de texto e mídia: Aplicando Framework de Agents | MundoAgents | Classplay,/course/modedit.php,2,1,5.5,6
Editar Área de texto e mídia: Aplicação: Como extrair o seu tom de voz e aplicar ao seu agent | MundoAgents | Classplay,/course/modedit.php,2,1,8.5,7
"Editar Área de texto e mídia: Aplicação: utilizando o seu agent para criar planejamento, imagens e posts | MundoAgents | Classplay",/course/modedit.php,2,1,9.5,6
Editar Área de texto e mídia: Aprenda como funcionam chatbots e ferramentas de I... | TEMPLO2FR.0125T1 | Classplay,/course/modedit.php,2,1,4,8
Editar Área de texto e mídia: Aula 2 - Modulo 2 | TEMPLO.FCA | Classplay,/course/modedit.php,2,2,3,6
Editar Área de texto e mídia: Como a IA generativa está revolucionando o mundo do marketing | IAG-MKTDigital | Classplay,/course/modedit.php,2,1,8.5,6
Editar Área de texto e mídia: Como estudar? | MundoAgents | Classplay,/course/modedit.php,2,1,1.5,6
Editar Área de texto e mídia: Continue a explorar as capacidades avançadas do Ch... | MINI-DADOS | Classplay,/course/modedit.php,2,1,0.5,8
"Editar Área de texto e mídia: Dados, privacidade e ética: Segurança na Era da IA | IA-Advogados | Classplay",/course/modedit.php,2,1,3.5,10
Editar Área de texto e mídia: Descobrindo Agents: Arquitetura e Aplicações | MundoAgents | Classplay,/course/modedit.php,2,1,6,6
Editar Área de texto e mídia: Desvendando os Mistérios da IA Generativa - Parte I | IntroIAG | Classplay,/course/modedit.php,2,1,12,7
Editar Área de texto e mídia: Desvendando os Mistérios da IA Generativa - Primeira Sessão | IntroIAG | Classplay,/course/modedit.php,2,1,4,5
Editar Área de texto e mídia: Dominando as Ferramentas Avançadas do ChatGPT | IntroIAG | Classplay,/course/modedit.php,2,1,4,6
Editar Área de texto e mídia: Estudos de caso: Tendências de futuro no universo dos Agentes | MundoAgents | Classplay,/course/modedit.php,2,1,1.5,8
Editar Área de texto e mídia: Evoluindo Seu Agente: Integrando com o seu Google Agenda (Parte 1) | MundoAgents | Classplay,/course/modedit.php,2,1,7,7
Editar Área de texto e mídia: Evoluindo Seu Agente: Integrando com o seu Google Agenda (Parte 2) | MundoAgents | Classplay,/course/modedit.php,2,1,5.5,8
Editar Área de texto e mídia: Explorando o Ecossistema OpenAI: GPT Store e agents da comunidade | MundoAgents | Classplay,/course/modedit.php,2,1,8.5,6
Editar Área de texto e mídia: Explore como dominar a engenharia de prompts pode ... | MINI-BRANDING | Classplay,/course/modedit.php,2,1,0,8
Editar Área de texto e mídia: Ilustradores e Designers: esse módulo é para vocês :) | IAG-MKTDigital | Classplay,/course/modedit.php,2,1,4,9
Editar Área de texto e mídia: Mistral e Grok | IntroIAG | Classplay,/course/modedit.php,2,1,5,9
Editar Área de texto e mídia: Mãos à Obra: Construindo Seu Primeiro Agent - Parte 1 | MundoAgents | Classplay,/course/modedit.php,2,1,5,6
Editar Área de texto e mídia: Mãos à Obra: Construindo Seu Primeiro Agent - Parte 2 | MundoAgents | Classplay,/course/modedit.php,2,1,4.5,6
"Editar Área de texto e mídia: Na aula, você vai aprender a criar imagens educaci... | TEMPLO.FCA | Classplay",/course/modedit.php,2,2,1,9
Editar Área de texto e mídia: Nessa aula você vai aprender como criar prompts ef... | TEMPLO.FCA | Classplay,/course/modedit.php,2,1,2,8
Editar Área de texto e mídia: O que são Workflows de Agentes e quando usá-los | MundoAgents | Classplay,/course/modedit.php,2,1,2,8
Editar Área de texto e mídia: O que são Workflows de agents e quando usá-los | MundoAgents | Classplay,/course/modedit.php,2,1,3.5,6
Editar Área de texto e mídia: O que são prompts? Prompts Básicos | MINI-PROMPTS | Classplay,/course/modedit.php,2,1,3,6
Editar Área de texto e mídia: O que são prompts? Segredos que ninguém te conta! | IAG-MKTDigital. Freemium | Classplay,/course/modedit.php,2,1,1,8
Editar Área de texto e mídia: Por que os AI Agents mudam o paradigma da automação | MundoAgents | Classplay,/course/modedit.php,2,1,8.5,6
Editar Área de texto e mídia: Por que os Agentes IA mudam o paradigma da automação | MundoAgents | Classplay,/course/modedit.php,2,1,8,8
Editar Área de texto e mídia: Quer acessar esse curso e aprender como utilizar I... | MINI-IMAGEMVIDEO-FREE_1 | Classplay,/course/modedit.php,2,1,4,9
Editar Área de texto e mídia: Quer acessar esse curso e dominar tudo sobre Agents? Solicite acesso ao curso completo em (redacted) | AGENTS-FREE | Classplay,/course/modedit.php,2,1,4,8
Evidência de aprendizagem prévia | Classplay,/admin/tool/lp/user_evidence_list.php,2,1,6,6
Fazer upload de coortes | Classplay,/cohort/upload.php,2,2,1.5,6
Gerenciamento de usuário | Contas | Usuários | Administração | Classplay,/admin/settings.php,2,2,5.5,4
IAADV-FREE: Participantes | Classplay,/user/index.php,2,1,8.5,6
IMGMVIDEO-FREE: Participantes | Classplay,/user/index.php,2,2,8.5,6
Inscrições manuais | Classplay,/enrol/editinstance.php,2,1,3,5
MINI-IMAGEMVIDEO: Playlist: Conteúdos Extras | Classplay,/mod/resource/view.php,2,1,27,5
MINI-PROMPTS: Conteúdos adicionais para você aprender ainda mais! | Classplay,/mod/resource/view.php,2,2,15,6
Marketing,/turmas-templo/controle-templo/wow-templo/controle/estratgia-2025/okrs-por-equipe/orks-2025-marketing,2,2,47,2
Modificar perfil: Acylino do Amaral Mariano Junior | | Classplay,/user/editadvanced.php,2,2,13,5
MundoAgents : Tendências | Classplay,/mod/resource/view.php,2,1,6,5
MÓDULO 4 - Estratégias para Implementação e Uso Responsável da IA no Direito,/turmas-templo/controle-templo/turma-dannemann-ia-law/mdulo-4-estratgias-para-implementao-e-uso-responsvel-da-ia-no-direito,2,2,0.5,4
Nenhuma mensagem | Classplay,/mod/forum/user.php,2,1,1,5
Novo AI Prompts | PROMPTSFREE | Classplay,/course/modedit.php,2,1,23,7
Novo Área de texto e mídia | TEMPLO2FR.0125T1 | Classplay,/course/modedit.php,2,1,1,8
OPMKT-FREE: Participantes | Classplay,/user/index.php,2,2,6.5,6
Onboarding Templo,/Onboarding-Templo-1d75c6445454801aa6b6eae9ba98bc7e,2,1,2.5,3
Permissões em Curso: Engenharia de Prompts | Classplay,/admin/roles/permissions.php,2,1,20,4
Permissões em Curso: Prompts | Classplay,/admin/roles/permissions.php,2,1,24,4
Planos de aprendizagem | Classplay,/admin/tool/lp/plans.php,2,1,7,6
Plugins check | Classplay,/admin/index.php,2,1,6.5,10
Registration | Administration | Classplay,/admin/registration/index.php,2,1,6,6
Relatório do usuário | Introdução à IA Generativa | Classplay,/grade/report/user/index.php,2,2,9,6
Relatório do usuário | Onboarding de Professores | Classplay,/grade/report/user/index.php,2,2,4,6
Relatório do usuário | Podcasts | Classplay,/grade/report/user/index.php,2,2,9.5,6
Relatório do usuário | Prompts | Classplay,/grade/report/user/index.php,2,2,3.5,6
Resumo da configuração do registro | Classplay,/admin/tool/dataprivacy/summary.php,2,1,20,5
Seção: Nova subseção | 🔒 IA + Branding | Classplay,/course/view.php,2,2,3,6
Seção: Seção 1 | Modelos de IA | Classplay,/course/view.php,2,1,6,6
Seção: Seção 3 | 🔒 IA + Branding | Classplay,/course/view.php,2,1,3,6
TEMPLO.FCA: Apresentação Aula 3 - Módulo 2 | Classplay,/mod/resource/view.php,2,2,5.5,5
TUTORIAIS: Como criar agentes? by Anthropic | Classplay,/mod/resource/view.php,2,2,10.5,4
Upgrading to new version | Moodle 5.0 (Build: 20250414) | Classplay,/admin/index.php,2,1,6,10
Visão geral dos Plugins | Plugins | Administração | Classplay,/admin/plugins.php,2,2,51,5
(not set),/user/profile.php,1,1,0,2
AJAX e Javascript | Aparência | Administração | Classplay,/admin/settings.php,1,1,2,3
Acesso ao site | Classplay,/login/index.php,1,1,9,7
Active Campaign,/turmas-templo/controle-templo/ferramentas-0425/active-campaign,1,1,9,1
Ada,/turmas-templo/controle-templo/ferramentas-0425/ada,1,1,1,1
Administradores do site | Permissões | Usuários | Administração | Classplay,/admin/roles/admins.php,1,1,5,3
Agatha Maranhão: Perfil público | Classplay,/user/profile.php,1,1,25,5
Agente Generativo | Classplay,/mod/aiagents/area.php,1,1,3,3
Agente Generativo: Perfil pessoal: Agatha Maranhão | Classplay,/user/view.php,1,1,6,2
Agente Generativo: Perfil pessoal: Antonio Roberto Rodante | Classplay,/user/view.php,1,1,15,3
Agente Generativo: Perfil pessoal: Guilherme Ribeiro | Classplay,/user/view.php,1,1,46,2
Agente Generativo: Perfil pessoal: Natalie Chamberlain | Classplay,/user/view.php,1,1,33,7
Ana Carolina Brandizzi: Perfil público | Classplay,/user/profile.php,1,1,40,3
Analista de Descrição de Vaga para Atração de Talentos,/turmas-templo/controle-templo/automao-para-rh/prompts-para-recursos-humanos/atrao-e-recrutamento-de-talento/analista-de-descrio-de-vaga-para-atrao-de-talentos,1,1,5,1
Andre Gavazza: Perfil público | Classplay,/user/profile.php,1,1,6,3
Anna Carolina Santana Corgozinho: Perfil público | Classplay,/user/profile.php,1,1,0,2
Antonio Roberto Rodante: Perfil público | Classplay,/user/profile.php,1,1,13,3
Assistente de Brainstorming,/automacao/biblioteca-de-prompts/assistente-de-brainstorming,1,1,66,1
Assistente de Criação de Prompt para MidJourney,/automacao/agentes-prontos/assistente-de-criao-de-prompt-para-midjourney-prompt-reverso,1,1,22,2
Atividades do curso: Biblioteca de Agentes | Classplay,/course/overview.php,1,1,13,3
Atividades do curso: IA para Advogados | Classplay,/course/overview.php,1,1,1,3
Atividades do curso: Prompts | Classplay,/course/overview.php,1,1,5,3
Atividades do curso: Webinars | Classplay,/course/overview.php,1,1,3,3
Atividades do curso: 🔒 IA + Branding | Classplay,/course/overview.php,1,1,8,3
Atividades do curso: 🔒 O Mundo dos Agents | Classplay,/course/overview.php,1,1,8,3
Atualizando para nova versão | Moodle 5.0 (Build: 20250414) | Classplay,/admin/index.php,1,1,0,2
Autoinscrição | Classplay,/enrol/editinstance.php,1,1,1,2
Avaliação avançada | Classplay,/grade/grading/manage.php,1,1,1,3
BASICOMKT-FREE: Participantes | Classplay,/user/index.php,1,1,2,3
BRASASJOR.0925T1: Playlist de Estudos - Módulo 1 | Classplay,/mod/resource/view.php,1,1,16,2
Backups | Relatórios | Administração | Classplay,/report/backups/index.php,1,1,1,3
Biblioteca Templo,/conteudo/biblioteca-templo,1,1,15,4
Biblioteca de Agentes: Perfil pessoal: Anna Carolina Santana Corgozinho | Classplay,/user/view.php,1,1,0,2
Biblioteca de Agentes: Perfil pessoal: Iuly Francinne Macari de Lima | Classplay,/user/view.php,1,1,0,2
Biblioteca de Agentes: Perfil pessoal: Saullo Soares Santos | Classplay,/user/view.php,1,1,2,3
Biblioteca de Agentes: Perfil pessoal: Thais Regina de Souza Diniz | Classplay,/user/view.php,1,1,0,2
Biblioteca de Prompts: Perfil pessoal: Marcello Andrade | Classplay,/user/view.php,1,1,3,3
Biblioteca de Prompts: Perfil pessoal: Vincenzo Zandoná | Classplay,/user/view.php,1,1,1,3
Boost | Configurações de tema personalizado | Aparência | Administração | Classplay,/admin/settings.php,1,1,6,3
COGNA: Advogados,/turmas-templo/controle-templo/cogna-advogados,1,1,6,1
Camilla Magalhaes Silva: Perfil público | Classplay,/user/profile.php,1,1,0,2
Campos personalizados de curso | Configurações padrão | Cursos | Administração | Classplay,/course/customfield.php,1,1,2,3
Campos personalizados do Coorte | Contas | Usuários | Administração | Classplay,/cohort/customfield.php,1,1,3,3
Cancelando AGENTS-FREE | Classplay,/course/delete.php,1,1,3,4
Cancelando IAG-MKT-FREE | Classplay,/course/delete.php,1,1,22,4
Cancelando MINI-BRANDING.FREE_1 | Classplay,/course/delete.php,1,1,3,3
Cancelando TEMPLO2FR.0125T1 | Classplay,/course/delete.php,1,1,4,4
Cancelando TEMPLOFRE.0125T1 | Classplay,/course/delete.php,1,1,3,4
Carlos Toledo: Perfil público | Classplay,/user/profile.php,1,1,13,7
Classplay | Mapa da Plataforma,/ee0a74cee3f5490c89f562e291580e07,1,1,1,3
Classplay: Modificar perfil | Classplay,/user/editadvanced.php,1,1,5,2
Classplay: Preferência de idioma | Classplay,/user/language.php,1,1,4,6
Classplay: Preferências do calendário | Classplay,/user/calendar.php,1,1,32,6
Conclusão de atividade padrão | Classplay,/course/defaultcompletion.php,1,1,6,3
Configurações de Certificado,/turmas-templo/controle-templo/wow-templo/controle/repositrio-de-contedos/documentao-classplay-moodle/configuraes-de-certificado,1,1,5,1
Configurações de mochila | Classplay,/badges/mybackpack.php,1,1,8,2
Configurações gerais | Notas | Administração | Classplay,/admin/settings.php,1,1,4,3
Contas de pagamento | Pagamentos | Administração | Classplay,/payment/accounts.php,1,1,10,3
Contas | Usuários | Administração | Classplay,/admin/category.php,1,1,4,3
Controle - Templo,/Controle-Templo-1515c644545480ecbca8e0668453d1b3,1,1,0,3
Curso: IA Generativa no Marketing Digital 🔒 | Classplay,/course/view.php,1,1,2,2
Curso: O Mundo dos Agents 🔒 | Classplay,/course/view.php,1,1,711,3
Curso: 🔒 O Básico da IAGen no Marketing Digital | Classplay,/course/view.php,1,1,1,2
Cursos Classplay: Carregar cursos | Classplay,/admin/tool/uploadcourse/index.php,1,1,2,2
DANNEMANNIA .0225T1: Aula 1: Fundamentos da IA Generativa no Direito | Classplay,/mod/resource/view.php,1,1,4,2
DANNEMANNIA .0225T1: Desafio Prático 3: Escolha uma atividade e estimule seu aprendizado! | Classplay,/mod/resource/view.php,1,1,25,2
Debugging | Desenvolvimento | Administração | Classplay,/admin/settings.php,1,1,3,3
EBOOKS: 6 Prompts para Aumentar a Produtividade da Equipe de Marketing | Classplay,/mod/resource/view.php,1,1,5,3
EBOOKS: ChatGPT Bible | Classplay,/mod/resource/view.php,1,1,2,2
EBOOKS: ChatGPT Multi-Plugin | Classplay,/mod/resource/view.php,1,1,3,2
EBOOKS: Como Usar o ChatGPT e Python para Construir um Gráfico de Conhecimento | Classplay,/mod/resource/view.php,1,1,1,2
EBOOKS: Como Usar o ChatGPT para Converter Texto em Uma Apresentação do PowerPoint | Classplay,/mod/resource/view.php,1,1,1,2
EBOOKS: Introduction to Algorithmic Marketing | Classplay,/mod/resource/view.php,1,1,6,3
EBOOKS: Manual sobre ChatGPT + IAG | Classplay,/mod/resource/view.php,1,1,6,2
EBOOKS: O Guia Completo do Claude AI: Revolucione a Forma Como Você Trabalha | Classplay,/mod/resource/view.php,1,1,3,2
EBOOKS: Os 6 Plugins que Mudarão Como Usar o ChatGPT | Classplay,/mod/resource/view.php,1,1,2,2
EBOOKS: Supercharge Your Research Productivity with ChatGPT | Classplay,/mod/resource/view.php,1,1,5,2
EBOOKS: The Art of Asking ChatGPT for High-Quality Answers | Classplay,/mod/resource/view.php,1,1,7,2
EBOOKS: Usos Essenciais de IAG para Times de Marketing | Classplay,/mod/resource/view.php,1,1,10,2
EBOOKS: Web3 Marketing: A Handbook for the Next Internet Revolution | Classplay,/mod/resource/view.php,1,1,11,2
Eder Antonio Milani Bernardes: Perfil público | Classplay,/user/profile.php,1,1,0,2
Editando o relatório do avaliador | IA + Branding | Classplay,/grade/report/grader/index.php,1,1,0,2
Editando o relatório do avaliador | 🔒 IA + Branding | Classplay,/grade/report/grader/index.php,1,1,3,2
Editar AI Agents: Agente Generativo | casos-uso | Classplay,/course/modedit.php,1,1,4,2
Editar AI Prompts: aaaaaaaaaaaaaaaaa | PROMPTSFREE | Classplay,/course/modedit.php,1,1,13,4
Editar Arquivo: Apresentação Aula 3 | TEMPLO.FCA | Classplay,/course/modedit.php,1,1,2,5
Editar Arquivo: Apresentação aula 2/3 - módulo 1 | TEMPLO.FCA | Classplay,/course/modedit.php,1,1,11,4
Editar Arquivo: Apresentação aula 2/3/extra | TEMPLO.FCA | Classplay,/course/modedit.php,1,1,0,4
Editar Arquivo: Apresentação aula1 - módulo 2 | TEMPLO.FCA | Classplay,/course/modedit.php,1,1,3,5
Editar Arquivo: Aula 1: Fundamentos da IA Generativa no Direito | DANNEMANNIA .0225T1 | Classplay,/course/modedit.php,1,1,12,5
Editar Arquivo: Aula 2: Automação de Fluxos de Trabalho Jurídico com IA | DANNEMANNIA .0225T1 | Classplay,/course/modedit.php,1,1,1,5
Editar Arquivo: Aula 2: Regulação e Aspectos Éticos da IA no Direito | DANNEMANNIA .0225T1 | Classplay,/course/modedit.php,1,1,2,5
Editar Arquivo: Criando seu Assistente IA - Parte 1 | MundoAgents | Classplay,/course/modedit.php,1,1,19,2
Editar Arquivo: Desafio Prático 2: Escolha uma atividade e estimule seu aprendizado! | DANNEMANNIA .0225T1 | Classplay,/course/modedit.php,1,1,2,5
Editar Arquivo: O Ecossistema de Agents da OpenAI | MundoAgents | Classplay,/course/modedit.php,1,1,22,2
Editar Arquivo: Playlist de Estudos Módulo 1 | DANNEMANNIA .0225T1 | Classplay,/course/modedit.php,1,1,4,5
Editar Arquivo: Playlist de Estudos Módulo 2 | DANNEMANNIA .0225T1 | Classplay,/course/modedit.php,1,1,1,5
Editar Arquivo: Playlist de Estudos Módulo 3 | DANNEMANNIA .0225T1 | Classplay,/course/modedit.php,1,1,1,5
Editar Arquivo: eBook: ChatGPT + Inteligência Artificial Generativa | IAG-MKTDigital | Classplay,/course/modedit.php,1,1,33,3
Editar Fórum: Avisos do site | Classplay,/course/modedit.php,1,1,1,2
Editar Seção: . | Modelos de IA | Classplay,/course/view.php,1,1,1,2
Editar Seção: 1. Fundamentos e Desenvolvimento de Agents | O Mundo dos Agentes | Classplay,/course/view.php,1,1,6,2
Editar Seção: 2. Criando e Aperfeiçoando Agents | O Mundo dos Agentes | Classplay,/course/view.php,1,1,13,2
Editar Seção: 3. Aplicações de IAG no Marketing Digital | O Básico de IA Generativa no Marketing Digital | Classplay,/course/view.php,1,1,5,2
Editar Seção: Aula 1 - Introdução à IA Generativa e Modelos de Linguagem | FCA: Formação de Talentos | Classplay,/course/section.php,1,1,11,3
Editar Seção: Aula 3 - Casos de Uso em Educação e Projeto Prático | FCA: Formação de Talentos | Classplay,/course/view.php,1,1,5,2
Editar Seção: Aula “Aprendizado de Máquina – Conceitos-chave” com miniatura e ícone de cadeado. | Freemium Simulado | Classplay,/course/view.php,1,1,37,3
Editar Seção: Chat GPT | Modelos de IA | Classplay,/course/view.php,1,1,7,2
Editar Seção: Como integrar IA generativa ao seu site | Freemium Simulado 2 | Classplay,/course/view.php,1,1,22,4
Editar Seção: Criando consistência de tom de voz e estilo para a sua marca com Custom Instructions | 🔒 IA + Branding | Classplay,/course/view.php,1,1,5,2
Editar Seção: Introdução à Inteligência Artificial (Freemium) | Freemium Simulado | Classplay,/course/section.php,1,1,3,3
Editar Seção: Módulo 1 - Fundamentos e Desenvolvimento de Agentes | O Mundo dos Agentes | Classplay,/course/view.php,1,1,15,2
Editar Seção: Módulo 1 - Introdução à IA Generativa | IA para Advogados | Classplay,/course/view.php,1,1,11,2
Editar Seção: Módulo 1 | Introdução à IA Generativa | Classplay,/course/view.php,1,1,35,2
Editar Seção: Módulo 1 | O Básico de IA Generativa no Marketing Digital | Classplay,/course/view.php,1,1,5,2
Editar Seção: Módulo 2 - Criando e Aperfeiçoando Agentes | O Mundo dos Agentes | Classplay,/course/view.php,1,1,7,2
Editar Seção: Módulo 2 - Explorando as capacidades do ChatGPT | Análise de Dados | Classplay,/course/view.php,1,1,12,2
Editar Seção: Módulo 2 | Introdução à IA Generativa | Classplay,/course/view.php,1,1,47,2
Editar Seção: Módulo 2 | O Básico de IA Generativa no Marketing Digital | Classplay,/course/view.php,1,1,4,2
Editar Seção: Módulo 3 - Criação de Assistentes IA para Advogados | IA para Advogados | Classplay,/course/view.php,1,1,1,2
Editar Seção: Módulo 3 - Em Busca do Prompt Perfeito | Engenharia de Prompts | Classplay,/course/view.php,1,1,3,2
Editar Seção: Módulo 3 - Workflows de Agentes | O Mundo dos Agentes | Classplay,/course/view.php,1,1,33,2
Editar Seção: Módulo 4 - Agentes Avançados: Integração com Ferramentas Externas | O Mundo dos Agentes | Classplay,/course/view.php,1,1,4,2
Editar Seção: Módulo 4 - Personalização de Estratégias com IA Generativa | O Básico de IA Generativa no Marketing Digital | Classplay,/course/view.php,1,1,3,2
Editar Seção: Módulo 5 - Casos de Uso com Imagens | O Básico de IA Generativa no Marketing Digital | Classplay,/course/view.php,1,1,31,2
"Editar Seção: Módulo 5 - Integração, Aplicação e Casos de Sucesso | O Mundo dos Agentes | Classplay",/course/view.php,1,1,24,2
Editar Seção: Nova subseção | 🔒 IA + Branding | Classplay,/course/view.php,1,1,4,2
Editar Seção: Se Preparando para a IA: Habilidades Necessárias | IA para Advogados | Classplay,/course/view.php,1,1,8,2
Editar Seção: Seção 1 | 🔒 IA + Branding | Classplay,/course/view.php,1,1,28,2
Editar Seção: Slides: O Ecossistema de Agents da OpenAI | O Mundo dos Agentes | Classplay,/course/section.php,1,1,14,3
Editar Seção: TESTE 3 | 🔒 IA + Branding | Classplay,/course/view.php,1,1,9,2
Editar Seção: | Modelos de IA | Classplay,/course/section.php,1,1,5,3
Editar Seção: 🔒 Criando consistência de tom de voz e estilo para a sua marca com Custom Instructions | 🔒 IA + Branding | Classplay,/course/view.php,1,1,22,3
Editar curso: Masterclasses | Classplay,/course/view.php,1,1,1,2
Editar curso: eBooks | Classplay,/course/view.php,1,1,1,2
Editar seção: 1. Fundamentos e Desenvolvimento de Agents | MundoAgents | Classplay,/course/editsection.php,1,1,8,2
Editar seção: 2. Criando e Aperfeiçoando Agents | MundoAgents Freemium | Classplay,/course/editsection.php,1,1,57,3
Editar seção: 2. Engenharia de Prompts | IAG-MKTDigital | Classplay,/course/editsection.php,1,1,8,4
Editar seção: 3. Aplicações de IAG no Marketing Digital | IAG-MKTDigital | Classplay,/course/editsection.php,1,1,1,4
Editar seção: Aula 1 | TEMPLO2FR.0125T1 | Classplay,/course/editsection.php,1,1,5,5
Editar seção: Aula 3 - Casos de Uso em Educação e Projeto Prático | TEMPLO.FCA | Classplay,/course/editsection.php,1,1,7,4
Editar seção: Aula “Aprendizado de Máquina – Conceitos-chave” com miniatura e ícone de cadeado. | TEMPLOFRE.0125T1 | Classplay,/course/editsection.php,1,1,14,4
Editar seção: Brainstorm de Marketing com ChatGPT | OPMARKETING | Classplay,/course/editsection.php,1,1,5,3
Editar seção: Chat GPT | LLMS | Classplay,/course/editsection.php,1,1,2,4
Editar seção: Clique no botão para acessar | LLMS | Classplay,/course/editsection.php,1,1,18,4
Editar seção: Como usar o Advanced Data Analysis do ChatGPT para analisar dados em planilhas | MINI-DADOS | Classplay,/course/editsection.php,1,1,3,2
Editar seção: Descubra o Mundo dos Agents! | AGENTS-FREE | Classplay,/course/editsection.php,1,1,0,4
Editar seção: Descubra o Mundo dos Agents! | MundoAgents Freemium | Classplay,/course/editsection.php,1,1,1,4
Editar seção: Descubra o Mundo dos Agents! | MundoAgents | Classplay,/course/editsection.php,1,1,4,3
